Model,Accuracy,Precision,Recall,F1,Mean Confidence,Mean Latency,Replay Buffer Size,Mean EWC Loss,Checkpoint
FUSE0,0.8468335787923417,0.8489533201129673,0.8472091930129532,0.8474472105198578,0.900843093777967,2.4808711378259525,300,0.0,best_lstm_model_rt0.pth
FUSE33,0.8301423662248405,0.8340118346116692,0.8311287950835556,0.8303439148810164,0.9371809459048623,2.616885367362126,300,0.011680091506982885,best_lstm_model_rt1.pth
FUSE66,0.8340697103583702,0.8364627936943241,0.8342447907637269,0.8347894777589611,0.9392385789735913,2.6196845910920192,300,0.009200715873213574,best_lstm_model_rt2.pth
FUSE100,0.836033382425135,0.8363139222941443,0.8365479805775496,0.8362597796440366,0.9440325958271149,2.622164167723471,300,0.005260560341468171,best_lstm_model_rt3.pth
